ID,ProductName,Price,Color,Description
1847ddf8-5184-4691-a016-5d4b6c734bb5,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Green,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
30547553-03e1-42a3-ac70-5832ce654a2d,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Black,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
64786358-ee49-44bb-a56b-9b2ee76986df,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Black,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
6a7b6799-569a-457d-a65e-ed43919bd1f3,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Black,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
7b89d2c8-bcc0-431b-b682-670bc2d3c828,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Green,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
a47de462-1acf-4450-b5fc-0fdcb9ba0ae4,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Green,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
abc87059-1b41-4b65-b222-8248f574e866,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Green,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
ba3ac59b-12dd-440c-b844-a317442d3f60,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,Black,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
ec9863ae-4e84-4c24-a877-b071a1030a69,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,White,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
ef873f25-a6ae-4967-8d80-ed7159f37668,Heritage Regular Logo unisex round neck short sleeve t-shirt,895000,White,"Color: White, Black, Green Bay
Material: 63% cotton, 37% polyester
Dynamic loose-fitting T-shirt design
Round neck, youthful short sleeves
Brand logo details printed prominently on the front
The fabric is soft, smooth and absorbs well
Brand origin: Korea"
